looseness 鬆弛
loot 打劫
lop 剪砍
lope 慢跑
lord 主
lord 君主
lord 貴族
lord 領主
lordliness 貴族式
lordling 小君子
lordly 有氣派的
lordship 貴族身份
lorelei 羅蕾萊
loris 狐猴類
lorraine 洛倫
lorry 載貨汽車
losangeles 洛杉磯
lose 失
lose 丟掉
lose 損失
lose 蝕錢
lose 輸掉
lose 輸錢
loser 輸家
loss 損失
lost 失去的
lost 輸錢
lot 大批
lot 大量
lot 大量,地皮
lot 好多
lot 堆
lothario 色狼
lotion 乳液
lots 堆
lottery 彩券
lou 路
loud 大聲
louder 大聲一點
loudly 高聲地
loudness 響度
loudsp 喇叭
loudspeake 喇叭
lough 湖港灣
louis 路易
louise 露薏絲
lounger 漫步的人
lour 牛叫
louse 賤骨頭
lousy 差勁
lout 粗人
louvre 羅浮宮
love 喜歡
love 鍾意
love 戀
lovelace 放蕩者
loveliness 可愛
lovelock 額前
lovely 可愛
lovely 可愛的
lovely 抵錫
lovely 美好
lover 情人
lovers 情侶
lovesick 害相思病
loving 愛的
low 低
low 低的
lowboy 短腳衣櫥
lowbrow 教養
lowcost 低成本
lower 低Ｄ
lower 降下
lowercase 小寫
lowered 降低
lowers 降低
lowing 牛鳴
lowlander 低地的人
lowliness 低下
lowly 卑屈地
lowness 低下
lowrise 低樓
lox 液態氣
loxygen 液態氣
loyalism 忠誠
loyalist 忠誠的人
loyally 忠誠地
loyalty 忠貞
lozenge 菱形
lrregular 金額不全
lsd 迷幻藥
lt 藍田
lubricate 潤滑
lubricator 潤滑物
lubricity 潤滑性
lucerne 紫花苜蓿
lucidity 明朗
lucien 路斯恩
lucifer 曉星
luciferase 生化
luciferin 生化
luck 好命
luck 幸運
luck 運氣
luckemia 白血病
luckily 僥倖地
lucky 好命
lucky 好彩
lucky 好運的
lucky 運氣
lucky 饒幸
lucubrate 專心著作
lucy 露西
luff 逆風航行
lug 用力拉
luggag 行李
lugger 帆船
lugsail 四角縱帆
lugworm 沙躅
lull 暫息
lumber 木料
lumberer 伐木人
lumberyard 木材場
luminance 發光性
luminol 發光氨
luminosity 光明
lummox 笨伯
lump 塊狀
lump 團
lunacy 精神失常
lunatic 喪心病狂的
lunation 陰曆月
lunch 午飯
lunch 午餐
lunch 食晏
luncheon 午餐
lunette 眼鏡堡
lung 肺
lunge 刺進
lunger 肺病患者
lungwort 兜苔
lunker 大魚
lunkhead 呆頭
lunshun 嶙峋
lunsun 嶙峋
lupin 羽扇豆
lupine 羽扇豆
lupus 狼瘡
lupz 立
lurcher 小偷
lure 吸引
lurngmern 龍井
lushly 蒼翠繁茂
lust 慾望
lustrate 清淨
lute 琵琶
lutetium 鎦
luther 路德
lutist 彈琵琶者
lux 勒克司
luxate 弄脫臼
luxation 脫臼
luxemberg 盧森堡
luxemburg 盧森堡
luxuriancy 繁茂
luxuriate 繁茂
luxury 奢侈
luxury 奢華
luzon 呂宋島
lyceum 文化會館
lychee 荔枝角
lydia 莉底亞
lye 鹼水
lyh 林奕謙
lying  講大話
lying 呃
lying 講大話
lykewake 守夜
lyle 賴爾
lymphoid 淋巴
lynch 私刑
lynching 處私刑
lyndon 林頓
lynn 林恩
lynn 琳
lynx 山貓
lyre 七弦琴
lyric 歌詞
lyrics 歌詞
lysin 離氨酸
lysine 生化
lysis 病勢減退
lysol 來沙爾
lysozyme 生化
