r Ｒ
remove 搬家
remover 移轉者
renaissanc 復興
rename 重新命名
renata 蕾娜塔
rencounter 衝突
rend 扯裂
render 呈送
render 造成
rendering 表現
rendezvous 會合
rendition 解釋
renedy 藥物
renee 蕾妮
renew 續訂
renewedly 重新
rennet 凝乳酵素
rennin 凝乳酵素
reno 利諾
renoir 雷諾瓦
renominate 再提名
renounce 放棄
renown 名聲
rent 出租
rent 租
rent 租金
renter 承租人
rentier 放債為生
renumber 重新編號
reoffer 再提供
reopen 再開
reorganize 重組
reorient 重新適應
repaint 重新油漆
repaint 重新漆上
repair 修理
repair 賠償
repaire 補一補
repairman 修理工
reparation 償還
repast 餐飲
repeal 撤銷
repealer 廢止者
repeat 反複
repeat 重復
repeat 重複
repeated 重複的
repeatedly 重複地
repeater 重複者
repeg 安定幣值
repel 逐退
repel 驅除
repentance 悔恨
repently 懺悔地
repertoire 演奏目錄
repertory 貯藏所
repetend 循環節
rephrase 改述
replac 替換
replac 置換
replace 更換
replace 替換
replant 改種
replant 移植
replenish 重新補充
replevin 索回
replevy 索回
reply 回復
report 報告
reportage 報告文學
reportedly 根據傳說
reporter 記者
reposal 信賴
repose 信賴
reposit 貯藏
repository 貯藏處
repossess 取回
repot 移植
reprehend 申斥
repres 代表
repres 表示
represent 代表
represent 表示
representa 代表
repressor 抑制者
repressor 鎮壓者
reprieve 緩刑
reproach 叱責
reproach 譴責
reprocess 再處理
reproducti 複製
reproof 非難
reptile 爬蟲動物
reptilia 爬蟲類
republic 共和國
republican 共和政體
republican 共和黨員
repudiate 拒絕履行
repudiator 拒絕者
repugn 反對
repugnancy 厭惡
repulse 逐退
repulsion 排斥作用
reputa 名譽
reputably 卓越地
reputation 名譽
reputation 聲價
reques 要求
reques 請求
requester 請求者
requicken 甦醒
requiem 安魂曲
requir 要求
requir 需要
require 需要
requiremen 必要條件
reroute 變更旅程
reroute 變更路程
rerun 再映
resaul 結果
reschedule 重新安排
rescind 取消
rescission 解除
rescue 拯救
rescue 救
rescue 救助
rescue 解救
rescuer 救兵
resear 研究
research 研究
researcher 研究者
reseat 復位
reseau 網狀組織
resection 切除術
reseda 木犀草
reseize 奪回
reseizure 再取得
resell 轉賣給
resemblanc 類似點
resent 痛恨
resent 憤慨
resentment 憤慨
reserpine 蛇根鹼
reservatio 保留
reservatio 預約
reserve 預約
reservoir 貯水處
reservoir 蓄水庫
resettle 再予解決
reshape 改造
reshipping 重新運送
reshuffle 重新混合
reside 住
reside 駐在
reside 駐留
residence 住宅
residence 住所
residency 行政區分
residency 居住
resident 居住的
residu 殘留
residua 殘遺
residue 剩餘
residuum 剩遺
resignatio 辭職
resignedly 聽從地
resilience 韌度
resinate 樹脂鹽酸
resister 抵抗
resolu 分辨率
resolute 堅定的
resolutely 堅決地
resolutely 毅然地
resolution 決心
resolution 解析度
resolve 下決心
resolved 決議的
resonate 共鳴
resonator 共振器
resorb 再吸收
resorcinol 樹脂酚
resound 反響
resour 資源
resourrces 資源
respec 方面
respec 尊敬
respectabl 可尊敬的
respecter 尊敬的人
respectful 表示敬意
respectful 尊敬地
respecting 關於
respective 個別地
respite 暫緩執行
respon 響應
responsibi 責任
responsibl 應負責任的
responsory 唱和
rest 抖
rest 其余
restart 重新開始
restate 重述
restate 重新敘述
restaurant 食肆
restaurant 茶樓
restaurant 酒樓
restitute 回復
restless 不安的
restor 恢復
restoratio 修復
restore 恢復原狀
restrain 抑制
restrain 壓制
restraint 禁止
restrict 限於
restrictio 限制
restring 重新裝弦
rests 其他
restudy 重新研究
resturant 餐廳
result 成績
resume 重新恢復
resume 重新開始
resurface 重新鋪設
resurge 再起
resurgence 再起
resurrect 復甦
resurrecti 復活
ret 浸軟
retain 保持
retain 保留
retake 重拍
retard 減低速度
retard 減緩
retardate 白癡
retarded 遲鈍
retarder 遲縮劑
retardment 減低速度
retch 反胃
retell 重說
retexture 重新處理
reticence 沈默
reticle 十字網線
reticula 網狀組織
reticule 網袋
retina 眼網膜
retinitis 網膜狀
retinue 侍從
retire 退後
retire 退隱
retool 重整機具
retrain 重新訓練
retrain 重新教育
retread 再生輪胎
retreat 後退
retreat 撤退
retree 劣等紙
retrie 彌補
retrie 檢索
retrieval 恢復
retrieve 回復
retroact 反作用
retrogress 倒退
retrovert 後屈
retsina 葡萄酒
return 返回
return 番黎
return 歸
return 歸還
returner 回擊者
retype 重新打
reuben 魯賓
reunited 重新結合
rev 增加轉速
revalue 重新評價
revamp 改造
reveal 顯示
revel 狂歡
revelation 啟示錄
revelation 揭發
revelation 暴露
revelator 啟示者
revelry 鬧飲
revenant 幽靈
revenue 歲入,收益
reverend 應尊敬的
reverent 虔敬
revers 反
revers 倒
revers 翻
revers 顛倒
reverse 相反
reverse 顛倒
reversion 退回
revert 復原
revest 再賦予
revet 覆護
revetment 被覆
review 回顧
review 評論
review 複習
revile 斥責
revisal 修正
revise 修正
revise 修訂
reviser 修訂者
revishing 奪目
revision 校訂
revisit 再訪
revisor 修訂者
revitalize 復興
revival 復活
revival 復甦
revive 復甦
reviver 興奮劑
revivify 還原
revocable 可徹銷
revoke 撤銷
revolt 暴動
revolu 革命
revolution 革命
revolution 革命的
revolve 迴轉
revolve 運轉
revolver 左輪槍
revue 歌劇
revue 諷刺劇
reward 酬勞
rewind 轉回
rewire 重新配線
reword 重述
rework 重做
rewrite 重新改寫
rex 雷克斯
rexine 仿造皮
rey 裸麥
rgb 紅綠藍
rh 銠
rhapsodise 作狂想曲
rhatany 豆科灌木
rheology 流性學
rheometer 電流記
rheometry 電流測定
rheoscope 檢電器
rheotaxis 走流性
rhesus 恆河猴
rhetor 修辭學者
rheum 鼻黏膜炎
rheumatic 風濕症
rheumatism 風濕
rheumatism 風濕病
rhinestone 水晶
rhino 錢
rhinology 鼻科學
rhinoscope 照鼻鏡
rhizoid 假根
rhizoma 根莖
rhizomorph 菌絲束
rho Ρ
rhode 羅德
rhodopsin 視紫質
rhodora 杜鵑
rhomb 菱形晶體
rhombus 菱形
rhombus 菱形晶體
rhumb 羅盤方位
rhumba 羅盤方位
rhymer 作詩者
rhymester 作詩者
rhyming 押韻
rhymist 作詩者
rhyolite 火山岩
rhythm 旋律
rhythmics 韻律研究
rial 伊朗幣
rib 肋骨
ribaldry 下流的話
ribband 肋板
riboflavin 核黃素
ribose 核酸糖
ribs 排骨
rice 米
rice 飯
rich 有錢
rich 富有
rich 富有的
rich 豐富
riches 財富
richness 富裕
ricin 篦麻毒素
rickets 佝僂
rickety 不牢
rickshaw 人力車
rid 去除
rid 使免除
rid 除去
rid 驅除
riddle 謎
riddles 燈謎
ride 騎坐
rider 騎士
rider 騎師
ridge 背
riding 騎乘
riel 柬埔寨幣
riff 反覆旋律
riffle 漣漪
riffraff 下層民眾
rifle 來福槍
rifleman 槍手
rift 不和
rift 裂口
rig 索具裝置
rig 操縱裝置
rigger 操縱者
rigging 索具裝置
rigging 裝備
right 右邊
right 正確
right 正確的
right 權利
righteousn 正義
righthand 右手的
rightist 右派人士
rightist 右派份子
rightists 右派
rightness 正直
righto 好阿！
rightoh 好阿！
rights 權力
rigidity 硬性
rigorously 嚴厲
rilative 親戚
rim 邊
rimrock 懸崖
rinderpest 牛疫
ring 戒子
ringbolt 有環螺釘
ringdove 班鳩
ringleader 魁首
ringman 賭客
ringster 黨徒
ringworm 錢癬
rinse 洗滌
rinsing 漂洗
riode 里約熱內盧
rip 強扯
ripe 成熟
ripely 成熟地
ripen 成熟
ripeness 成熟
ripoff 竊盜
ripple 漣漪
ripples 波紋
rippling 漣漪
riptide 激流
rise 昇起
rise 起來
risibility 可笑
rising 上升
rising 攀昇的
risk 風險
riskily 冒險地
risotto 燉菜
rissole 小肉湯糰
rita 莉達
riva 莉娃
rival 競爭對手
rivalship 競爭
rive 劈開
river 川
river 河
river 河流
riverhead 河源
rivet 固定
riveter 卯機
riyal 阿拉伯幣
rn 氡
roach 鯉魚
road 路
road 道路
roadbook 路程指南
roader 行人
roadside 路邊
roadstead 停泊處
roadster 敞篷車
roadway 車道
roadway 道路
roar 吼
roar 狂叫
roaring 洶洶
roars 怒吼
roast 燒烤
roaster 烘烤器
rob 偷
rob 搶
robbery 掠奪
robe 長袍
robert 羅伯特
roberta 羅勃塔
robin 羅賓
robinson 羅便臣道
robust 壯大
roc 大怪鳥
roc 中華民國
