m Ｍ
misjudge 判斷錯誤
mislay 放錯
misled 誤導
mislike 嫌惡
mismanage 擔誤
mismatch 匹配錯誤
mismate 匹配錯誤
misogamy 厭惡結婚
misogyny 厭惡女人
misology 厭惡理論
misoneism 厭新
misprint 錯字
misprise 輕蔑
misprize 輕蔑
misquote 誤引用
misrule 失政
miss 失去
miss 錯過
missay 說錯
misshape 造型弄壞
missile 飛彈
missileman 飛彈設計
missilery 集合詞
missing 缺憾
mission 任務
missionary 傳道者的
mississipp 密西西比
missouri 密蘇里洲
misspeak 說錯
misspell 拼錯
misstate 錯誤敘述
missus 太太
missy 少女
mistak 錯誤
mistake 搞錯
mistake 錯
mister 先生
mistily 霧濃地
mistime 誤失時機
mistiness 霧濃
mistletoe 檞寄生
mistrial 誤判
mistrust 不信任
misty 模糊
misunderst 誤會
mitigator 緩和器
mitosis 有絲分裂
mitsubishi 三菱
mitt 手套
mitten 手套
mitten 兩指手套
mittimus 收押
mitzvah 戒律
mixologist 調酒員
mixtur 混合物
mizzle 濛濛雨
mk 旺角
mm 公釐
mn 錳
mo 鉬
moab 默阿布
moan 呻吟
moaning 悲啼
mob 群眾
mobcap 室內頭巾
mobile 大哥大
mobile 手提
mobile 手提電話
mobile 機動
mobilise 動員
mobocracy 暴民統治
mock 愚弄
mock 膺品
mode 方式
mode 樣式
mode 模式
model 模式
model 模型
modeled 形成模式
modeling 形成模式
modelling 造形
modem 調制解調器
moderate 協調
moderate 適當的
moderately 適當地
moderates 穩健派
moderator 主席
modern 近代
modern 現代
modern 現代的
modernity 現代性
modestly 謹慎地
modesty 莊重
modesty 摩黛絲提
modificati 修正
modifier 修飾
modify 改進
modify 修正
modillion 飛簷托
modulator 調節器
modulatory 調節
module 組件
module 模塊
modulus 係數
moggy 家貓
mohammedan 回教
mohave 摩哈維族
mohawk 摩霍克族
mohican 莫希干人
mohogany 桃花心木
mohz 摩
moil 忙碌工作
moil 辛勞工作
moira 茉怡拉
moist 水分
moist 潮濕
moist 潤濕
moist 濕的
moist 濕氣
moisten 滋潤
moisten 濡濕
moistly 濡濕地
moisture 濕氣
moke 驢
mol 摩爾
molasses 糖漿
mold 模子
moldboard 犁板
moldiness 霉臭
mole 黑痣
mollify 緩和
mollusk 軟體動物
molly 茉莉
molt 蛻皮
molten 融解
mom 媽媽
moment 一瞬間
momently 一刻地
momentum 衝力
momism 母親定向
mona 夢娜
monad 單位
monadism 單元論
monadnock 殘留山丘
monandry 一夫制
monaural 電唱機
monday 星期一
monday 禮拜一
monetize 鑄成貨幣
money 款
moneyback 退錢
monger 商販
mongkok 旺角
mongol 蒙古人
mongolism 蒙古病
mongols 蒙古人
mongoos 貓鼬
mongoose 貓鼬
mongrel 雜種
monica 茉妮卡
monicker 綽號
monies 金錢
moniker 綽號
monist 一元論者
monistic 一元論
monition 忠告
monito 監視器
monitor 顯示器
monitored 監視
monk 和尚
monk 僧侶
monkey 馬騮
monkey 猴子
monkhood 僧侶
monkish 僧侶
monocline 單斜層
monocoque 單體橫造
monocycle 獨輪車
monocyte 單核細胞
monodrama 獨腳戲
monogamous 一夫一妻
monogram 字母組合
monogynous 一妻制
monogyny 一妻制
monolatry 單神崇拜
monolith 巨型獨石
monologist 獨白者
monologize 獨白
monologue 獨白
monomark 拼合記號
monoploid 單倍體
monopolise 獨占
monopolist 獨占者
monopolize 獨占
monopolize 獨佔
monopoly 壟斷販賣
monostich 一行詩
monotype 單型
monroe 門羅
monsoon 季候風
monster 怪物
monstrance 聖體光子
monstrous 怪物似的
montague 曼特裘
montgomery 蒙哥瑪利
month 月
monthlys 月經
months 月
monticule 小山
monty 門帝
monumental 極為龐大
moo 牛鳴聲
mooch 徬徨
moocher 乞丐
mood 氣氛
moodiness 喜怒無常
moods 脾氣
moola 金錢
moolvee 老師
moolvie 老師
moon 月
moonbeam 月光
mooneye 月盲症
moonfish 翻車魚
moonflower 瓢葫蘋
moonlet 小衛星
moonlight 月光
moonrise 月光
moonscape 月球表面
moonshiner 釀私酒者
moorcock 雄紅松雞
moore 莫爾
moorfowl 紅松雞
moorhen 雌紅松雞
mooring 繫留
moose 大鹿
moose 鹿
moot 大會
moot 討論會
mope 悶悶不樂
moppet 嬰兒
moraine 冰河堆石
moral 教訓
moral 道德
morale 紀律
moralise 教化
moralizing 醒世
morals 道德
moravian 摩發維亞
moray 海鰻類
mordacity 辛辣
mordancy 辛辣
more 更加
more 更多
more 較多
morel 籠葵
moreover 並且
mores 風俗
morgan 摩爾根
morn 早晨
mornin 上午
mornin 早上
mornin 拂曉
mornin 晨
mornin 朝
morning 上晝
morning 早上
morning 早晨
moro 摩洛族
moron 低能
moronism 低能
moronity 低能
morpheme 形態素
morphia 嗎啡
morrison 摩利臣山
morrow 明日
morse 摩爾斯
mortal 會死的
mortality 死亡
mortgage 抵押
mortgager 抵押者
mortgagor 抵押者
mortice 準接
mortifying 令人悔恨
mortimer 摩帝馬
mortise 準接
mortmain 永久保存
mortmain 永久保管
morton 摩頓
mosaic 馬賽克
mosaic 摩西
moss 苔蘚
mossy 生苔的
most 最多的
mostly 大多數
mostly 大部份
mostly 就快
moth 蟲
mothball 防蠹丸
mother 老母
mother 娘親
mothering 省親
motherly 母親
motility 運動性
motion 行動
motion 動作
motion 運行
motion 舉動
motion 轉動
motivate 刺激
motiveless 無動機
motivity 動力
motley 斑駁
motor 摩打
motorc 汽車
motorc 摩托車
motorcade 汽車行列
motoring 駕車
motorist 乘汽車者
motorist 常坐汽車者
motorize 動力化
motorized 摩托化
motroist 乘車者
motte 叢林
motto 標語
mouch 蹣跚地走
moufflon 野羊
mouflon 野羊
mould 模具
mound 土堆
mound 丘陵
mount 上
mount 山嶽
mount 接上
mount 裝
mount 騎
mounta 山脈
mountain 山
mountainee 登山家
mountainou 多山的
mountie 騎警
mourner 悲傷者
mournful 悲慟的
mourning 悲傷
mouse 老鼠
mouse 耗子
mousetrap 捕鼠機
mousiness 像老鼠
mousse 摩士
moustachio 鬚
mousy 像老鼠
mouth 口
mouth 嘴
mouth 嘴巴,口
mouther 吹牛的人
mouthful 滿嘴
mouthpiece 發話筒
movability 可動
movable 可動的
movably 可移動地
move 郁
moveme 運動
movement 郁動
movement 進行
movement 運行
movements 動作
mover 搬動者
mover 遷移者
movie 電影
movie 戲
moviedom 電影圈
mow 割
mow 割草
mowing 刈草
moxie 精力
mozambique 莫三鼻克
mozart 莫差特
mr 先生
mrs 女士
mrs 夫人
mrs 太太
ms 女士
ms 微軟
mtr 地下鐵
mu Μ
much 大量
much 非常多
much 很多
much 許多
mucilage 黏質物
mucin 黏液素
muck 糞
mucker 重重跌倒
muckrake 堆肥用耙
muckraker 探聽
muckworm 糞蛆
mucosity 黏性
mucus 黏液
mucxu 牧畜
mud 泥
mudder 賽馬
muddily 盡是泥
muddle 弄混
muddled 昏沉
muddy 骯髒的
mudfish 泥魚
mudflap 擋泥垂布
mudsill 底基
muezzin 報時者
muff 遲鈍
muffetee 毛線圍巾
muffle 壓住消音
mug 茶杯
mug 馬克杯
mugged 搶劫
mugger 蒙面盜匪
mugginess 悶熱
mugging 搶劫
muggins 愚人
mugwort 艾屬植物
mukden 奉天
mulberry 桑
mulch 護蓋物
muleteer 趕騾的人
mulingliang 模稜兩可
mull 左思右想
mull 慎思熟慮
muller 磨杵
mullet 烏魚
mulligan 燉肉
mulligrubs 意志消沈
mullock 廢石
multifoil 繁葉飾
multigraph 複印印刷
multilane 多線道
multiped 多足動物
multiplane 多翼
multiplica 乘法
multistage 多節
multitude 多數
multiuser 多用戶
mum 阿媽
mum 媽咪
mumble 含糊的說
mumbling 喃喃
mummify 弄乾保存
mump 鬧情緒
munchies 小點心
mungo 再製呢絨
munich 幕尼黑
municipal 市政的
muniment 防禦
munition 軍火
munitions 軍火
murderer 凶手
murderer 殺人凶手
murex 骨螺
muriel 繆莉兒
murkily 黝暗地
murkiness 黝暗
murmur 私語
murmur 喃喃而語
murmur 訴怨
murphy 馬鈴薯
murphy 摩菲
murray 莫雷
murray 瑪瑞
muscle 肌肉
muscles 肌肉
muscovado 粗糖
muscovite 白雲母
muse 沉思
muse 瞑想
mush 濃粥
mushily 濃粥狀地
mushroom 香菇
mushroom 蘑菰
music 音樂
musica 音樂
musical 音樂的
musicale 音樂會
musicality 音樂性
musically 音樂上
